user_id,item_id,rating,timestamp
0,166,5.0,874965478
0,170,5.0,874965478
0,163,5.0,874965518
0,154,4.0,874965556
0,194,5.0,874965677
0,164,5.0,874965677
0,185,4.0,874965678
0,13,5.0,874965706
0,248,4.0,874965706
0,125,5.0,874965706
0,116,3.0,874965739
0,179,5.0,874965739
0,108,5.0,874965739
0,0,5.0,874965758
0,244,5.0,874965905
0,246,4.0,874965954
0,255,4.0,874965954
0,49,5.0,874965954
0,251,5.0,874965970
0,247,4.0,874965970
0,260,3.0,875071421
0,222,5.0,875071484
0,92,5.0,875071484
0,122,5.0,875071484
0,18,5.0,875071515
0,135,5.0,875071541
0,121,4.0,875071541
0,144,4.0,875071561
0,6,4.0,875071561
0,233,5.0,875071589
0,14,5.0,875071608
0,258,1.0,875071713
0,262,2.0,875071713
0,23,3.0,875071713
0,243,2.0,875071713
0,124,2.0,875071713
0,235,2.0,875071749
0,24,4.0,875071805
0,12,5.0,875071805
0,119,4.0,875071823
0,249,4.0,875071843
0,234,4.0,875071898
0,238,3.0,875071898
0,117,3.0,875071927
0,128,3.0,875072002
0,46,4.0,875072125
0,64,4.0,875072125
0,188,5.0,875072125
0,30,3.0,875072144
0,113,5.0,875072173
0,38,4.0,875072173
0,27,4.0,875072173
0,51,4.0,875072205
0,236,4.0,875072235
0,181,5.0,875072262
0,68,3.0,875072262
0,197,4.0,875072262
0,10,2.0,875072262
0,159,4.0,875072303
0,94,4.0,875072303
0,59,5.0,875072370
0,177,3.0,875072370
0,82,3.0,875072370
0,63,5.0,875072404
0,97,4.0,875072404
0,21,4.0,875072404
0,133,4.0,875072404
0,200,5.0,875072442
0,161,4.0,875072442
0,25,3.0,875072442
0,88,5.0,875072484
0,7,1.0,875072484
0,212,4.0,875072520
0,180,4.0,875072520
0,47,5.0,875072520
0,158,4.0,875072547
0,173,5.0,875072547
0,98,3.0,875072547
0,190,4.0,875072547
0,126,4.0,875072573
0,178,3.0,875072573
0,183,4.0,875072631
0,141,1.0,875072631
0,67,4.0,875072688
0,54,5.0,875072688
0,202,5.0,875072688
0,55,4.0,875072716
0,95,5.0,875072716
0,80,5.0,875072865
0,149,4.0,875072865
0,78,4.0,875072865
0,69,3.0,875072895
0,210,4.0,875072895
0,22,4.0,875072895
0,83,4.0,875072923
0,182,4.0,875072956
0,195,5.0,875072956
0,189,5.0,875072956
0,93,2.0,875072956
0,132,4.0,875073067
0,143,2.0,875073067
0,205,5.0,875073067
0,184,4.0,875073128
0,96,3.0,875073128
0,186,3.0,875073128
0,157,3.0,875073180
0,84,3.0,875073180
0,35,2.0,875073180
0,142,4.0,875073180
0,16,3.0,875073198
0,172,5.0,875073198
0,250,2.0,875240677
0,104,2.0,875240739
0,146,2.0,875240799
0,107,5.0,875240920
0,145,3.0,875240993
0,241,1.0,875241390
0,218,3.0,875241390
0,105,4.0,875241390
0,120,3.0,875241498
0,103,1.0,875241619
0,106,4.0,875241619
0,245,1.0,875241619
0,118,1.0,875241637
0,44,5.0,875241687
0,266,5.0,875692927
0,265,4.0,875692955
0,257,1.0,875692979
0,259,1.0,875692992
0,261,1.0,875693007
0,9,3.0,875693118
0,148,5.0,876892196
0,232,4.0,876892355
0,91,3.0,876892425
0,70,3.0,876892425
0,41,5.0,876892425
0,174,5.0,876892468
0,90,5.0,876892636
0,191,4.0,876892654
0,215,3.0,876892676
0,175,5.0,876892701
0,214,5.0,876892701
0,192,4.0,876892743
0,72,3.0,876892774
